time,open,high,low,close,volume
2016-01-31,9.23,9.42,9.04,9.23,6864000
2016-02-29,9.23,10.22,9.18,10.18,12761220
2016-03-31,10.18,10.55,3.27,3.27,37963820
2016-04-30,3.17,3.98,2.98,3.17,30708670
2016-05-31,3.17,3.27,2.84,3.08,7716240
2016-06-30,3.08,3.32,2.76,2.91,7509950
2016-07-31,2.91,3.83,2.81,3.37,10433710
2016-08-31,3.32,3.48,2.91,3.17,7859610
2016-09-30,3.07,3.17,2.78,2.85,7369120
2016-10-31,2.85,3.25,2.71,2.86,7307350
2016-11-30,2.81,2.92,2.56,2.81,14981480
2016-12-31,2.81,2.89,2.45,2.59,23121020
2017-01-31,2.59,2.66,2.5,2.66,8027870
2017-02-28,2.65,2.81,2.44,2.56,17116510
2017-03-31,2.51,2.58,2.44,2.45,12046930
2017-04-30,2.45,2.98,2.3,2.96,9775720
2017-05-31,3.1,3.65,2.84,3.22,16531250
2017-06-30,3.26,4.22,3.18,3.96,21840020
2017-07-31,3.96,4.11,3.38,3.53,12376090
2017-08-31,3.53,3.83,3.42,3.59,10986380
2017-09-30,3.59,3.86,3.53,3.59,9958870
2017-10-31,3.58,3.61,2.94,2.99,5911260
2017-11-30,2.96,3.21,2.79,3.12,4453670
2017-12-31,3.12,3.65,2.92,3.15,9331910
2018-01-31,3.15,3.17,2.85,2.99,4647500
2018-02-28,2.99,3.1,2.69,3.02,2540530
2018-03-31,3.02,3.3,2.98,3.14,6223020
2018-04-30,3.18,3.3,2.81,3.19,3956190
2018-05-31,3.24,3.27,2.94,3.07,1135680
2018-06-30,3.07,3.21,2.86,3.02,3625540
2018-07-31,3.0,3.0,2.69,2.81,2853570
2018-08-31,2.81,3.06,2.63,2.79,4450930
2018-09-30,2.79,3.88,2.72,3.55,13675540
2018-10-31,3.59,3.63,3.02,3.21,5039120
2018-11-30,3.21,3.21,2.94,3.09,3581870
2018-12-31,3.1,3.12,2.62,2.83,2932920
2019-01-31,2.83,3.3,2.38,3.14,4923310
2019-02-28,3.14,3.35,2.73,2.87,1937230
2019-03-31,2.85,3.21,2.71,3.07,3395110
2019-04-30,3.09,3.57,2.96,3.32,19310190
2019-05-31,3.3,3.3,2.94,2.95,14968560
2019-06-30,2.95,3.09,2.71,2.89,6999620
2019-07-31,2.91,3.07,2.82,2.97,5626210
2019-08-31,3.02,4.14,2.86,4.14,15305600
2019-09-30,4.09,4.55,3.87,4.5,12390690
2019-10-31,4.32,4.5,3.97,4.11,9286530
2019-11-30,4.17,4.9,3.99,4.22,13323570
2019-12-31,4.22,4.3,3.97,4.07,10719570
2020-01-31,4.1,4.1,3.02,3.17,7911620
2020-02-29,3.17,3.37,2.91,3.11,6412160
2020-03-31,3.11,3.55,2.14,2.14,8356200
2020-04-30,1.99,2.83,1.99,2.57,5205580
2020-05-31,2.56,3.33,2.45,3.27,9757930
2020-06-30,3.27,3.6,2.96,3.13,10637740
2020-07-31,3.35,3.99,3.14,3.31,16295490
2020-08-31,3.31,4.48,3.31,4.25,13553870
2020-09-30,4.25,4.81,4.02,4.59,18139320
2020-10-31,4.59,5.05,4.09,4.22,15688740
2020-11-30,4.22,4.94,4.22,4.82,11941240
2020-12-31,4.71,8.27,4.62,7.61,39584240
2021-01-31,8.12,9.27,7.13,7.45,34852000
2021-02-28,7.92,9.39,7.32,9.26,25654100
2021-03-31,9.7,10.33,8.57,9.26,49192600
2021-04-30,9.14,9.73,7.51,8.29,28661000
2021-05-31,8.29,8.7,7.2,7.79,27603200
2021-06-30,7.82,9.07,7.76,8.56,42640400
2021-07-31,8.56,9.1,7.41,8.32,26639900
2021-08-31,8.39,12.45,8.36,11.94,122568100
2021-09-30,11.84,13.63,11.37,12.21,99835300
2021-10-31,12.18,17.59,11.91,17.39,110317600
2021-11-30,17.39,19.93,16.24,19.11,125552200
2021-12-31,19.11,22.33,19.11,20.06,87391500
2022-01-31,20.06,23.17,15.99,18.22,63726900
2022-02-28,18.89,21.99,18.47,20.06,83903600
2022-03-31,20.15,24.22,20.02,22.16,222617800
2022-04-30,22.04,23.21,12.8,16.87,144379900
2022-05-31,17.04,18.47,14.77,17.63,120776700
2022-06-30,17.54,18.3,10.75,11.84,116425400
2022-07-31,11.58,13.31,11.0,12.8,83280000
2022-08-31,13.01,15.09,13.01,14.09,121741500
2022-09-30,14.18,15.27,10.32,11.18,106061704
2022-10-31,11.14,11.14,6.61,7.23,75846291
2022-11-30,7.36,7.51,4.13,6.42,115584913
2022-12-31,6.86,7.64,5.56,5.74,125492257
2023-01-31,5.75,7.18,5.75,7.0,57671782
2023-02-28,7.17,7.17,5.45,5.65,60975262
2023-03-31,5.64,6.0,5.59,5.74,35866287
2023-04-30,5.84,8.09,5.77,7.61,170916223
2023-05-31,7.55,8.93,7.55,8.86,184204839
2023-06-30,8.95,9.82,8.3,8.38,218557721
2023-07-31,8.39,10.18,8.39,9.95,284539884
2023-08-31,10.0,11.27,8.68,10.68,397792894
2023-09-30,10.82,11.32,8.69,8.98,305348005
2023-10-31,9.08,9.32,6.37,6.37,153033133
2023-11-30,6.45,8.36,6.33,7.84,161441851
2023-12-31,7.9,8.9,7.69,8.02,149369706
2024-01-31,8.14,8.14,7.27,7.52,111240778
2024-02-29,7.55,8.05,7.37,7.7,90091289
2024-03-31,7.71,8.35,7.56,8.0,186152773
2024-04-30,8.0,8.41,6.98,7.33,117499763
2024-05-31,7.42,8.95,7.34,8.72,191136335
2024-06-30,8.85,9.23,7.59,7.59,213209067
2024-07-31,7.62,8.18,6.82,6.97,152575597
2024-08-31,7.13,7.13,6.17,6.66,158832033
2024-09-30,6.51,6.7,6.28,6.54,81274700
2024-10-31,6.55,6.69,6.06,6.37,93848900
2024-11-30,6.47,6.81,6.17,6.33,144699200
2024-12-31,6.31,6.79,6.13,6.36,190554400
2025-01-31,6.35,6.37,5.7,5.82,75471000
2025-02-28,5.91,6.35,5.7,5.76,245641800
2025-03-31,5.36,5.36,3.7,3.87,413087400
2025-04-30,3.9,3.93,2.79,2.94,194597100
2025-05-31,2.99,3.73,2.85,2.85,209252900
2025-06-30,2.85,2.97,2.81,2.89,24784200
