time,open,high,low,close,volume
2016-01-10,9.23,9.23,9.04,9.13,1458760
2016-01-17,9.09,9.32,9.04,9.13,1366620
2016-01-24,9.13,9.42,9.04,9.13,2305710
2016-01-31,9.13,9.28,9.13,9.23,1732910
2016-02-07,9.23,9.37,9.18,9.32,2549000
2016-02-14,,,,,0
2016-02-21,9.32,10.03,9.23,9.8,4278390
2016-02-28,9.8,9.8,9.37,9.56,3453690
2016-03-06,9.56,10.55,8.38,8.38,8701980
2016-03-13,7.81,8.28,7.1,7.48,10300210
2016-03-20,7.48,7.48,5.49,5.49,7900940
2016-03-27,5.21,5.35,4.26,4.26,6776670
2016-04-03,4.07,4.12,3.08,3.36,11742260
2016-04-10,3.36,3.64,2.98,3.64,12036490
2016-04-17,3.69,3.98,3.46,3.46,8244250
2016-04-24,3.41,3.41,3.17,3.27,3253590
2016-05-01,3.27,3.36,3.12,3.17,2196240
2016-05-08,3.17,3.17,3.03,3.08,1659030
2016-05-15,3.08,3.17,2.84,2.98,2098660
2016-05-22,2.98,3.12,2.89,3.12,1652530
2016-05-29,3.17,3.27,2.98,3.03,1650100
2016-06-05,3.03,3.27,3.03,3.17,1952040
2016-06-12,3.22,3.32,3.03,3.27,2460110
2016-06-19,3.27,3.27,3.07,3.12,1492570
2016-06-26,3.12,3.17,2.86,2.86,1591110
2016-07-03,2.91,3.02,2.76,2.86,774340
2016-07-10,2.86,2.91,2.81,2.91,1477900
2016-07-17,2.96,3.83,2.91,3.63,3927420
2016-07-24,3.58,3.63,3.17,3.32,2837340
2016-07-31,3.27,3.48,3.27,3.37,2086750
2016-08-07,3.32,3.37,2.91,3.07,2557840
2016-08-14,3.02,3.48,2.96,3.32,2013110
2016-08-21,3.32,3.48,3.17,3.27,1016480
2016-08-28,3.22,3.27,3.07,3.22,1040530
2016-09-04,3.22,3.22,3.02,3.12,1626190
2016-09-11,3.07,3.17,3.02,3.12,1728000
2016-09-18,3.07,3.11,2.78,2.96,1601480
2016-09-25,2.96,3.07,2.82,3.02,2037850
2016-10-02,3.02,3.03,2.84,2.85,1607250
2016-10-09,2.85,2.92,2.79,2.84,1493110
2016-10-16,2.86,3.01,2.71,3.01,1644420
2016-10-23,3.19,3.25,3.0,3.04,2989850
2016-10-30,3.03,3.06,2.81,2.9,995190
2016-11-06,2.87,2.91,2.73,2.73,1185030
2016-11-13,2.75,2.81,2.56,2.69,565740
2016-11-20,2.72,2.72,2.57,2.71,2365630
2016-11-27,2.71,2.92,2.66,2.66,6555880
2016-12-04,2.56,2.89,2.56,2.89,8498080
2016-12-11,2.89,2.89,2.63,2.7,5243440
2016-12-18,2.56,2.66,2.48,2.48,4609910
2016-12-25,2.48,2.81,2.45,2.66,5149860
2017-01-01,2.66,2.71,2.48,2.59,4113710
2017-01-08,2.59,2.66,2.5,2.63,2768620
2017-01-15,2.61,2.65,2.56,2.6,2250250
2017-01-22,2.55,2.59,2.5,2.59,2282440
2017-01-29,2.59,2.66,2.56,2.66,726560
2017-02-05,2.65,2.66,2.57,2.61,585570
2017-02-12,2.61,2.61,2.5,2.52,2317850
2017-02-19,2.5,2.56,2.44,2.56,3458060
2017-02-26,2.56,2.81,2.5,2.61,9396600
2017-03-05,2.61,2.64,2.5,2.55,3139930
2017-03-12,2.51,2.56,2.47,2.47,3058030
2017-03-19,2.46,2.51,2.44,2.46,2349860
2017-03-26,2.45,2.56,2.45,2.56,2471820
2017-04-02,2.53,2.56,2.45,2.45,2385720
2017-04-09,2.45,2.48,2.4,2.44,1591150
2017-04-16,2.46,2.47,2.38,2.44,1621780
2017-04-23,2.44,2.45,2.3,2.36,2382840
2017-04-30,2.36,2.98,2.35,2.96,4179950
2017-05-07,3.1,3.17,2.84,3.17,2765290
2017-05-14,3.37,3.65,3.32,3.38,4547790
2017-05-21,3.48,3.58,3.27,3.29,4243670
2017-05-28,3.47,3.5,3.32,3.33,3486240
2017-06-04,3.32,3.35,3.17,3.27,1943870
2017-06-11,3.3,3.68,3.3,3.57,3010490
2017-06-18,3.58,3.94,3.52,3.88,4319320
2017-06-25,3.86,4.22,3.58,4.17,8935530
2017-07-02,4.09,4.21,3.96,3.96,5119070
2017-07-09,3.96,4.11,3.86,4.08,3436260
2017-07-16,4.05,4.09,3.94,3.94,2910480
2017-07-23,3.94,3.98,3.83,3.94,2335920
2017-07-30,3.94,3.96,3.57,3.63,2566680
2017-08-06,3.58,3.83,3.38,3.63,3117190
2017-08-13,3.63,3.76,3.55,3.62,2581570
2017-08-20,3.53,3.67,3.42,3.63,1767330
2017-08-27,3.66,3.7,3.48,3.54,2709000
2017-09-03,3.54,3.68,3.53,3.65,2294430
2017-09-10,3.65,3.86,3.61,3.73,2622990
2017-09-17,3.71,3.77,3.63,3.72,2197250
2017-09-24,3.72,3.73,3.58,3.61,2838310
2017-10-01,3.61,3.65,3.53,3.59,1943930
2017-10-08,3.58,3.61,3.35,3.58,1600100
2017-10-15,3.58,3.59,3.53,3.57,1684390
2017-10-22,3.57,3.57,3.28,3.37,1367750
2017-10-29,3.42,3.47,3.12,3.17,823510
2017-11-05,3.17,3.19,2.79,2.99,1339290
2017-11-12,2.99,3.04,2.86,2.99,705830
2017-11-19,2.99,3.0,2.89,2.95,693850
2017-11-26,2.95,3.16,2.86,3.16,1575210
2017-12-03,3.16,3.21,3.03,3.12,736770
2017-12-10,3.12,3.12,2.92,3.02,1696270
2017-12-17,3.03,3.65,3.02,3.35,4236650
2017-12-24,3.22,3.41,3.07,3.17,1268170
2017-12-31,3.12,3.19,3.07,3.15,1969050
2018-01-07,3.15,3.17,3.06,3.08,948700
2018-01-14,3.09,3.11,3.01,3.06,1040740
2018-01-21,3.07,3.07,3.02,3.06,1277090
2018-01-28,3.06,3.07,3.02,3.04,999680
2018-02-04,3.05,3.06,2.85,2.94,648530
2018-02-11,2.86,3.02,2.69,3.02,734430
2018-02-18,3.07,3.1,3.01,3.07,1221510
2018-02-25,3.07,3.07,2.87,3.04,61710
2018-03-04,3.07,3.22,2.96,3.22,471470
2018-03-11,3.26,3.3,3.07,3.21,1996460
2018-03-18,3.2,3.22,3.07,3.22,2017270
2018-03-25,3.22,3.22,3.07,3.17,781870
2018-04-01,3.19,3.21,3.08,3.14,1211590
2018-04-08,3.18,3.18,3.04,3.12,2018320
2018-04-15,3.12,3.12,2.96,3.04,139470
2018-04-22,3.04,3.25,2.81,3.17,763130
2018-04-29,3.17,3.3,3.07,3.19,1035270
2018-05-06,3.24,3.24,3.07,3.13,252640
2018-05-13,3.16,3.16,3.02,3.03,249290
2018-05-20,2.94,3.27,2.94,3.17,329810
2018-05-27,3.21,3.21,3.02,3.12,172540
2018-06-03,3.16,3.16,3.02,3.09,161820
2018-06-10,3.12,3.12,3.02,3.12,877690
2018-06-17,3.21,3.21,3.02,3.06,133230
2018-06-24,2.92,3.16,2.92,2.96,100670
2018-07-01,3.03,3.03,2.86,3.02,2483530
2018-07-08,3.0,3.0,2.69,2.88,2070440
2018-07-15,2.89,2.92,2.72,2.88,180350
2018-07-22,2.9,2.9,2.71,2.86,102800
2018-07-29,2.76,2.86,2.73,2.85,168590
2018-08-05,2.85,2.86,2.73,2.73,493330
2018-08-12,2.81,2.81,2.63,2.76,113900
2018-08-19,2.76,3.06,2.7,2.77,2349130
2018-08-26,2.86,2.86,2.69,2.76,1158860
2018-09-02,2.81,2.81,2.73,2.79,667100
