id,sub_organ_code,ownership_percent,organ_name,type
23171387,12666,0.5329,Công ty Cổ Phần Phát Triển Nguyễn Hoàng,công ty con
23171388,12668,0.8,Công ty Cổ Phần Bcg Khu Công Nghiệp Cát Trinh,công ty con
23171389,12669,0.8,Công ty CP Bcg Financial,công ty con
23171390,12670,0.8659,Công ty TNHH Phoenix Mountain,công ty con
23171391,AAAIN,0.7386,Công ty Cổ Phần Bảo Hiểm Aaa,công ty con
23171392,BCGENERGY,0.477123,Công ty Cổ phần BCG Energy,công ty con
23171393,BCGLAND,0.621,Công ty Cổ phần BCG Land,công ty con
23171394,TIPHAR,0.2101,Công ty Cổ phần Dược phẩm Tipharco,công ty con
23171395,TRACODI,0.439,Công ty cổ phần Tập đoàn Xây dựng Tracodi,công ty con
23171396,1101834236,0.38,Công ty TNHH B.o.t Đt 830,công ty liên kết
23171397,6400447308,0.49,Công ty TNHH Helios Village,công ty liên kết
