id,share_holder,quantity,share_own_percent,update_date
81814584,Nguyễn Hồ Nam,81023783,0.0921,2025-03-17
81803084,Công Ty TNHH MTV Nhn,52800000,0.0599,2025-03-17
81801931,Công ty Cổ Phần Regeneration Investment,49088208,0.0558,2024-12-06
81828220,Trần Thị Kiều Tiên,1964706,0.0482728746,2015-09-14
81815737,Nguyễn Ngọc Đoan Trang,9909300,0.0477,2025-03-06
81801259,Công ty Cổ phần Đầu tư và Dịch vụ Helios,24131317,0.0452,2023-07-24
81802192,Công ty Cổ Phần Tập Đoàn Vàng Bạc Đá Quý Doji,4234340,0.0392,2025-03-06
81812367,"Mirae Asset Daewoo Co., Ltd.",5157012,0.0253,2025-03-06
81807512,Hoàng Thị Minh Châu,8751675,0.0163,2023-04-03
81808601,Imperial Dragon Investments Limited,3060000,0.0147,2025-03-06
81819252,Nguyễn Thị Thùy Linh,8587444,0.00975606,2025-02-05
81816839,Nguyễn Thanh Hùng,7366934,0.0084,2025-04-10
81810582,Lê Thị Mai Loan,871600,0.0081,2025-03-06
81799595,BÙI THÀNH LÂM,4177800,0.0078,2025-03-06
81817187,Nguyễn Thế Tài,4340050,0.0054,2024-08-01
81812853,Ngô Thành Vinh,2409750,0.0045,2023-01-31
81828195,Trần Thị Huệ Linh,2252500,0.0042,2023-04-03
81822235,Phạm Minh Tuấn,3433646,0.0039009,2025-02-05
81804809,Đinh Hoài Châu,2008572,0.0039,2023-01-31
81804184,Đặng Trung Kiên,200000,0.0019,2019-02-14
81804509,Đào Thị Thanh Hiền,200000,0.0019,2019-02-14
81822362,Phạm Nguyễn Thiên Chương,1087800,0.0014,2024-08-01
81803730,Đặng Đình Tuấn,1155000,0.0013122,2025-02-05
81817236,Nguyễn Thị Ánh Tuyết,894822,0.0010166,2025-02-27
81806337,Dương Đức Hùng,65000,0.0006,2022-02-09
81821429,Nguyễn Xuân Lan,454940,0.00051,2025-04-03
81808948,Kou Kok Yiow,381704,0.0004337,2025-03-17
81825376,Tan Bo Quan Andy,168905,0.0001919,2025-03-24
81808007,Hồ Thị Anh Lan,100196,0.00011383,2025-02-05
81807128,Hoàng Bảo Cát,100000,0.0001,2024-08-01
81815724,Nguyễn Ngọc Đài Trang,12722,1.445e-05,2025-02-05
81821177,Nguyễn Viết Cương,3400,4e-06,2025-03-20
81809969,Leong Kwek Choon,2449,3e-06,2025-02-05
