time,open,high,low,close,volume
2016-01-31,10.29,10.31,9.42,9.86,16430900
2016-02-29,9.88,10.31,9.78,10.16,8205740
2016-03-31,10.16,10.61,10.01,10.01,18471640
2016-04-30,10.01,10.48,9.93,10.33,13194630
2016-05-31,10.25,10.34,9.99,10.19,10791050
2016-06-30,10.24,10.94,9.76,10.44,15174240
2016-07-31,10.49,11.09,10.19,10.24,17028460
2016-08-31,10.24,11.35,10.04,11.23,19339930
2016-09-30,11.33,12.4,11.12,11.93,34108550
2016-10-31,11.94,12.11,10.95,11.12,18244040
2016-11-30,11.15,11.44,10.51,11.09,11129890
2016-12-31,11.05,11.32,10.68,11.25,9527370
2017-01-31,11.33,11.92,11.11,11.53,12243540
2017-02-28,11.56,11.99,11.3,11.73,17902020
2017-03-31,11.73,12.53,11.55,12.1,21717430
2017-04-30,12.1,12.21,11.6,11.88,15287890
2017-05-31,11.94,13.1,11.88,12.91,20716430
2017-06-30,12.94,14.5,12.94,14.06,23797100
2017-07-31,14.06,14.83,13.81,14.51,21309270
2017-08-31,14.54,15.34,14.38,14.87,20268080
2017-09-30,14.9,15.31,14.5,14.94,17506590
2017-10-31,14.94,15.94,14.61,15.45,24197210
2017-11-30,15.48,18.39,15.14,17.9,61497410
2017-12-31,17.84,18.18,15.57,17.5,43699190
2018-01-31,17.56,20.08,17.53,19.28,58821020
2018-02-28,19.28,19.46,16.09,18.33,31495640
2018-03-31,18.21,19.77,17.78,18.61,43613950
2018-04-30,18.85,20.05,16.83,17.47,38703430
2018-05-31,17.72,19.13,16.22,16.63,28280770
2018-06-30,16.63,17.68,15.01,15.01,17359480
2018-07-31,15.01,15.88,13.92,15.48,21361020
2018-08-31,15.44,16.62,15.04,16.36,22888370
2018-09-30,16.32,17.32,15.67,17.13,17266010
2018-10-31,17.13,17.19,14.8,15.52,16159990
2018-11-30,15.56,16.13,15.23,15.88,9942860
2018-12-31,15.99,16.84,15.17,15.62,12721360
2019-01-31,15.47,16.06,14.99,15.99,7726380
2019-02-28,15.99,17.1,15.36,16.36,12506480
2019-03-31,16.49,17.28,16.34,16.84,15471210
2019-04-30,16.99,18.41,16.84,18.34,16840520
2019-05-31,18.43,19.17,17.93,18.32,26211200
2019-06-30,18.28,19.34,17.97,18.9,22618620
2019-07-31,19.11,20.52,19.07,20.11,32182160
2019-08-31,20.11,23.33,19.88,22.48,41381480
2019-09-30,22.44,25.19,22.14,24.43,36696250
2019-10-31,24.43,24.9,23.37,24.51,33146290
2019-11-30,24.56,25.95,23.5,23.88,42773090
2019-12-31,23.92,24.94,22.57,24.68,25802720
2020-01-31,24.68,25.02,22.02,22.02,29955760
2020-02-29,21.0,23.92,20.75,23.33,32031040
2020-03-31,23.33,24.13,16.98,17.4,48229870
2020-04-30,17.27,22.1,17.27,21.51,40922380
2020-05-31,21.25,24.65,21.08,23.78,45641380
2020-06-30,23.81,24.8,22.32,22.64,33442380
2020-07-31,22.82,24.28,21.63,22.07,35200180
2020-08-31,22.12,25.89,22.07,25.08,36640270
2020-09-30,25.08,26.19,24.57,25.33,36273720
2020-10-31,25.43,27.61,24.82,26.09,51824450
2020-11-30,26.09,28.72,25.94,28.06,43915370
2020-12-31,27.86,29.99,27.76,29.94,48291960
2021-01-31,30.19,34.55,29.69,31.76,50510300
2021-02-28,32.62,40.02,31.56,38.6,45081400
2021-03-31,38.96,41.29,37.74,39.36,50048800
2021-04-30,39.46,43.01,39.46,40.98,45271700
2021-05-31,40.53,49.65,40.53,49.59,49380100
2021-06-30,51.74,52.44,46.5,51.79,58421900
2021-07-31,51.85,55.91,49.2,55.33,80565100
2021-08-31,55.33,57.92,53.47,54.96,67812200
2021-09-30,54.78,57.7,54.43,55.32,37327300
2021-10-31,55.26,60.37,54.96,57.64,47782200
2021-11-30,57.94,60.55,56.45,57.76,49458700
2021-12-31,58.0,58.65,55.2,55.32,28141400
2022-01-31,55.56,56.03,49.96,53.24,26070200
2022-02-28,53.53,55.91,52.94,55.5,15071000
2022-03-31,55.91,65.79,53.41,63.65,48186100
2022-04-30,63.59,70.72,57.7,62.46,74417000
2022-05-31,62.4,66.86,54.72,65.37,46514100
2022-06-30,65.37,69.95,60.29,62.09,49274600
2022-07-31,62.67,63.96,59.21,60.14,29704900
2022-08-31,60.5,64.61,59.86,63.1,40736700
2022-09-30,63.03,63.18,56.04,58.66,25435768
2022-10-31,58.0,58.51,51.74,55.09,26422341
2022-11-30,55.6,55.96,44.67,54.36,28035440
2022-12-31,54.72,57.57,53.92,56.04,23861367
2023-01-31,56.04,62.3,55.96,60.84,15011829
2023-02-28,61.21,61.21,57.93,58.66,16857835
2023-03-31,57.93,58.8,56.18,57.64,15151890
2023-04-30,57.86,59.39,56.47,56.47,11122098
2023-05-31,56.69,61.86,56.55,61.28,16574975
2023-06-30,61.21,63.98,60.55,62.67,19376057
2023-07-31,63.03,72.73,62.67,72.56,27290489
2023-08-31,72.56,84.22,69.09,82.93,45566951
2023-09-30,83.28,86.45,77.53,79.59,55082127
2023-10-31,80.1,84.82,71.18,71.18,58606171
2023-11-30,72.3,80.45,70.84,78.82,47055690
2023-12-31,79.07,84.56,78.3,82.42,43716669
2024-01-31,83.11,84.39,80.7,82.08,32890868
2024-02-29,82.25,93.91,82.08,93.48,48169857
2024-03-31,93.65,101.63,92.8,99.92,69002540
2024-04-30,99.49,109.78,93.4,105.66,60504597
2024-05-31,106.18,119.81,105.92,115.44,87431955
2024-06-30,115.78,135.16,115.52,129.6,152640342
2024-07-31,129.5,138.74,122.35,127.71,132850309
2024-08-31,128.71,133.97,116.59,133.87,97236016
2024-09-30,132.08,136.05,128.71,133.57,71087862
2024-10-31,133.77,141.81,131.69,134.96,68915547
2024-11-30,134.07,144.4,125.83,143.3,96399178
2024-12-31,144.3,153.9,141.6,152.5,85518218
2025-01-31,152.5,156.0,144.7,153.4,57077300
2025-02-28,148.0,149.2,138.2,140.3,93419200
2025-03-31,140.5,143.5,121.0,121.0,135466100
2025-04-30,122.0,122.3,97.8,109.4,188374400
2025-05-31,109.5,126.9,106.9,116.5,138172100
2025-06-30,116.5,118.2,115.0,116.2,19928800
