time,open,high,low,close,volume
2016-01-10,10.29,10.31,9.78,9.84,5398450
2016-01-17,9.84,10.05,9.71,9.8,3033510
2016-01-24,9.71,9.71,9.42,9.52,5121150
2016-01-31,9.67,10.01,9.57,9.86,2877790
2016-02-07,9.88,9.99,9.78,9.97,2055630
2016-02-14,,,,,0
2016-02-21,9.93,10.27,9.84,10.14,2675580
2016-02-28,10.14,10.31,10.08,10.14,2958280
2016-03-06,10.18,10.48,10.12,10.42,4231340
2016-03-13,10.42,10.5,10.16,10.31,3307330
2016-03-20,10.42,10.61,10.29,10.48,5217700
2016-03-27,10.48,10.52,10.12,10.18,3879280
2016-04-03,10.27,10.27,9.93,9.95,2882420
2016-04-10,9.93,10.2,9.93,10.12,1742950
2016-04-17,10.16,10.25,10.03,10.03,3060990
2016-04-24,10.03,10.16,9.97,10.16,2750300
2016-05-01,10.2,10.48,10.1,10.33,5110210
2016-05-08,10.25,10.29,10.1,10.1,2373330
2016-05-15,10.12,10.18,9.99,10.08,2167330
2016-05-22,10.08,10.29,10.03,10.18,2028730
2016-05-29,10.27,10.27,10.09,10.24,3185150
2016-06-05,10.24,10.34,10.14,10.16,2274520
2016-06-12,10.16,10.16,10.04,10.11,2630930
2016-06-19,10.11,10.14,10.04,10.09,1459790
2016-06-26,10.11,10.94,9.76,10.21,7009290
2016-07-03,10.21,10.64,10.04,10.46,3415330
2016-07-10,10.49,11.09,10.46,10.89,5444810
2016-07-17,10.91,10.99,10.49,10.64,5141690
2016-07-24,10.61,10.66,10.21,10.31,3708720
2016-07-31,10.31,10.41,10.19,10.24,2154130
2016-08-07,10.24,10.31,10.04,10.11,2495780
2016-08-14,10.16,10.59,10.14,10.39,1895450
2016-08-21,10.39,10.99,10.36,10.59,5276020
2016-08-28,10.74,11.1,10.59,11.0,4955970
2016-09-04,11.05,11.51,10.87,11.38,6862570
2016-09-11,11.38,11.89,11.12,11.69,8760090
2016-09-18,11.64,11.75,11.35,11.51,5621740
2016-09-25,11.61,12.17,11.46,12.12,8344190
2016-10-02,12.17,12.4,11.93,11.93,9236670
2016-10-09,11.94,12.11,11.43,11.52,6956770
2016-10-16,11.52,11.52,11.04,11.21,5430700
2016-10-23,11.23,11.3,11.0,11.1,2565520
2016-10-30,11.1,11.23,10.95,11.15,2924950
2016-11-06,11.18,11.23,10.66,10.78,2296990
2016-11-13,10.77,11.11,10.51,11.0,2716540
2016-11-20,10.92,11.1,10.87,11.02,1866120
2016-11-27,11.05,11.44,10.95,11.24,3441830
2016-12-04,11.24,11.24,10.92,10.98,1687810
2016-12-11,11.0,11.12,10.77,10.97,1512720
2016-12-18,11.0,11.0,10.68,10.77,1708660
2016-12-25,10.77,11.05,10.77,10.91,1874900
2017-01-01,10.91,11.32,10.87,11.25,3917790
2017-01-08,11.33,11.69,11.33,11.5,3449250
2017-01-15,11.52,11.92,11.43,11.48,4468780
2017-01-22,11.48,11.48,11.11,11.3,3165540
