id,officer_name,officer_position,position_short_name,update_date,officer_own_percent,quantity
9,Trương Gia Bình,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2025-02-04,0.0699,102041710
11,Bùi Quang Ngọc,Phó Chủ tịch Hội đồng Quản trị,Phó Chủ tịch HĐQT,2025-02-14,0.0149,21961492
17,Đỗ Cao Bảo,Thành viên Hội đồng Quản trị,TV HĐQT,2025-05-12,0.0093365,13830531
13,Nguyễn Thế Phương,Phó Tổng Giám đốc,Phó TGĐ,2025-05-12,0.0036,5307647
12,Nguyễn Văn Khoa,Tổng Giám đốc,TGĐ,2025-05-12,0.0032,4708357
8,Hoàng Việt Anh,Phó Tổng Giám đốc,Phó TGĐ,2024-04-08,0.0023,2888251
16,Nguyễn Khải Hoàn,Thành viên Ban kiểm soát,TV BKS,2025-05-12,0.0017,2462178
14,Hoàng Hữu Chiến,Kế toán trưởng,Kế toán trưởng,2025-05-12,0.0006,816267
1,Bùi Nguyễn Phương Châu,Người phụ trách quản trị công ty,Người phụ trách quản trị công ty,2015-09-14,0.0002,160047
15,Nguyễn Việt Thắng,Trưởng Ban kiểm soát,Trưởng BKS,2025-05-12,0.0001,136045
2,Lê Song Lai,Thành viên Hội đồng Quản trị,TV HĐQT,2015-09-14,0.0,0
5,Nguyễn Thị Kim Anh,Thành viên Ban kiểm soát,TV BKS,2017-04-04,0.0,0
6,Vũ Anh Tú,Giám đốc Công nghệ,GĐ Công nghệ,2020-09-11,0.0,0
7,Dương Hoàng Phú,Phụ trách Công bố thông tin,Phụ trách CBTT,2021-06-08,0.0,0
3,Dan E Khoo,Thành viên Hội đồng Quản trị độc lập,Thành viên HĐQT độc lập,2016-01-29,0.0,0
10,Jean Charles Belliol,Thành viên Hội đồng Quản trị độc lập,Thành viên HĐQT độc lập,2025-02-04,0.0,0
4,Hamaguchi Tomokazu,Thành viên Hội đồng Quản trị độc lập,Thành viên HĐQT độc lập,2016-01-29,0.0,0
