id,sub_organ_code,ownership_percent,organ_name,type
23163558,10796,0.3043,Công ty Cổ phần Công nghệ HOMA,công ty con
23163559,12292,1.0,Công ty TNHH FPT Digital,công ty con
23163560,FISC,1.0,Công ty TNHH FPT IS,công ty con
23163561,FPTE,1.0,Công ty TNHH Giáo Dục FPT,công ty con
23163562,FPTSC,1.0,Công ty TNHH Phần Mềm FPT,công ty con
23163563,FPTSMART,1.0,Công ty TNHH FPT Smart Cloud,công ty con
23163564,FTEL,0.4566,Công ty Cổ phần Viễn thông FPT,công ty con
23163565,FPTR,0.4654,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,công ty liên kết
23163566,FPTS,0.1758,Công ty Cổ phần Chứng khoán FPT,công ty liên kết
23163567,SYNNEXFPT,0.48,Công ty Cổ Phần Synnex FPT,công ty liên kết
