Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
FPT,2024,5,0.4323966744,1.0152519728,0.4146977693606577,2.411855370669361,0.9502185216,4.4167392296,56.89888947578124,17.3183367531,32.7558835349,106.97310976378122,21.0759269324,0.16720046727722848,0.3770692598719763,0.12501063693049363,0.2869088635,0.2073679279,0.1187874226,13043646259024,10508347783359,0.017211704,1.307144972,0.2674070277,0.5941226051,-19.049307412250165,2.015251972775668,170938239064600,1471069183,21.7568143989,5.737822904,2.7198332256,14.6053907475,5340.855415212651,20251.5835611764,13.5368706808
FPT,2023,5,0.4761981467,1.0139245964,0.45579218713665953,2.0206847057035002,0.9401658512,4.098582203,59.12835003928585,21.7320308267,32.8414127729,113.70179363888585,16.7954851026,0.16062267339567352,0.38617187544864356,0.12287055034428873,0.2809692595,0.1921742561,0.1155186956,10738142058051,8451627899363,0.0131147541,1.237898147,0.2792138079,0.6054801557,-10.150293635346944,2.013924596407025,193670253437500,1269968875,29.9558466925,7.755680663,3.6806913691,20.3497221815,5090.82589336845,19663.0065918316,18.5727721935
FPT,2022,5,0.5466137149,1.0369991223,0.47455654651717716,1.7117132981524559,0.8355048736,3.9238599532,58.893408834098715,25.4583395255,41.3039624886,125.65571084819871,14.3371487223,0.15438832575374625,0.3900809562344896,0.12065815906747947,0.2724011803,0.1800440751,0.1008104799,8627621794997,6794557295869,0.0208116545,1.2616739557,0.2626375232,0.6093949594,-10.52236082263424,2.0369991223444703,105424253569200,1097026572,19.8535023822,5.0097730587,2.3954870485,20.8602618062,4840.455761912028,19182.5056491102,12.9081054107
FPT,2021,5,1.0454792052,1.5071424935,0.4855189428462425,1.4458617233219944,0.747278981,3.8102163592,60.27337727812472,25.0930897234,47.1495774312,132.5160444327247,14.5458372812,0.15186324270925322,0.38230540607439883,0.12164175178408149,0.2167424308,0.1304394203,0.0909003243,7058943201555,5415027516223,0.0260078023,1.1800089976,0.1820444874,0.4132920387,-11.188169386122606,2.5071424935230584,69790721808100,907551649,16.0904068468,3.8906214,1.9572652758,11.9510931788,4779.245219356105,19765.480136547,11.9661858417
FPT,2020,5,0.7211783233,1.2430973497,0.44705855094929525,1.2560108732284323,0.7941168928,3.7736139338,69.60559509041691,27.9071104707,55.370733354,152.88343891511693,13.0791039934,0.154363655776172,0.3960274507244366,0.11860409771033961,0.199859458,0.1469006608,0.0941855175,6095337155480,4604729678588,0.0215053763,1.1297232327,0.2095350786,0.4896823159,-11.949853395058017,2.243097349658149,72910836198000,783987486,20.6078792304,4.6313697942,2.4441789218,11.5007141236,4512.837005694247,20080.4522488309,13.2830801422
FPT,2019,5,0.4889000753,0.9878319533,0.44598124213750034,1.1340678996201496,0.877796348,3.9578967666,74.89433555956639,29.5270730921,55.2913150771,159.71272372876638,12.3615367789,0.1496137088331683,0.3864799589951699,0.11312028301186743,0.1986016686,0.1681421008,0.0992965713,5501450664844,4146837205963,0.0214592275,1.1786655898,0.2144661235,0.6203875535,-11.551479573347224,1.9878319532785858,63223029721600,678358688,22.1147943947,4.5283990101,2.281023221,16.2162308309,4621.965388101582,20581.2252391245,12.2936748829
FPT,2018,5,0.4962754655,1.0140186822,0.44086284039486995,0.9974124299290391,0.8478786408,3.9475378281,84.60448996950805,30.5455943997,60.3178155698,175.46789993900805,11.9493500511,0.13448003705984776,0.37576690872016777,0.11287287448030811,0.187066446,0.1435909114,0.0957024994,4286449299991,3121757296917,0.0214592275,1.2736762983,0.2716550038,0.7163909787,-13.097672448378031,2.0140186821780452,57190947150400,613636772,23.9168656242,4.5861469818,2.4636895059,15.9380840278,4269.9178920555305,20322.0700012319,14.0514626212
FPT,2017,5,0.39637854759999996,0.8884247172,0.39636923207503516,0.8936817011389309,1.5559483714,8.6728571203,43.876307039044335,31.219359101,33.4079995343,108.50366567434432,11.6914635825,0.07423210706036881,0.2269742144349133,0.06872072964270376,0.2375011948,0.1767040739,0.1069259074,4206055335364,3166638567022,0.0268240343,1.4467963112,0.3135631908,0.8677606093,-8.592255296292441,1.8884247172314255,49485574986000,530961105,16.8804550612,4.330871061,1.1600371885,24.8898408428,5521.17817097356,21519.9202856413,12.0509860084
FPT,2016,5,0.932214474,1.6059631094,0.40093929215974367,0.7728240379911075,1.4148991402,8.9012422523,45.12897147126196,58.3952753796,38.5763611253,142.10060797616197,6.2505056724,0.07711633768300914,0.21345361962026682,0.05035589735644282,0.184060042,0.1425379668,0.0712485159,3981961763710,3048522086594,0.0214592275,1.2569762334,0.3450074687,0.7259751734,-8.147075103302855,2.60596310943477,42818566948800,459426684,21.5099221797,4.4966278343,1.0831514334,9.9308808931,4332.884109080177,20726.6430390382,11.7390804285
