id,share_holder,quantity,share_own_percent,update_date
81762908,Trương Gia Bình,102041710,0.0699,2025-02-04
81759430,Tổng Công ty Đầu Tư Và Kinh Doanh Vốn Nhà Nước - Công ty TNHH,83987511,0.0571,2025-04-02
81758399,Red River Holding,21041999,0.0458,2024-05-06
81736500,Công ty TNHH Qt,54303923,0.0369,2025-04-02
81737995,"Deutsche Bank Aktiengesellchaft, London Branch",9604598,0.0241605875,2015-06-15
81735092,Công ty Cổ phần Quản Lý Quỹ Đầu Tư Dragon Capital Việt Nam,25097634,0.0198,2025-04-02
81745693,Ngân hàng Deutsche Aktiengesellschaft,7354242,0.01849977,2025-03-10
81758568,Stichting Depositary Apg Emerging Markets Equity Pool,21115647,0.0166,2025-04-02
81763772,Vinacapital Vietnam Opportunity Fund Ltd.,22791922,0.0155,2025-04-02
81763136,Trương Thị Thanh Thanh,21822466,0.0149,2025-02-04
81732820,Bùi Quang Ngọc,21961492,0.0149,2025-02-17
81740564,Hoàng Minh Châu,5610790,0.0141169968,2015-09-14
81736870,CTBC Vietnam Equity Fund,17458000,0.0137,2025-04-02
81757136,Phan Ngô Tống Hưng,5344531,0.0134470773,2015-09-14
81758518,Schroder International Selection Fund,19460017,0.0132,2025-04-02
81745328,Macquarie Bank Limited Obu,17107235,0.0116,2025-04-02
81763691,Vietnam Holding Ltd,8557812,0.0109168978,2020-07-14
81754919,Ntasian Discovery Master Fund,16000000,0.0109,2025-04-02
81740060,Government Of Singapore,15162887,0.0103,2025-04-02
81750181,Nguyễn Thành Nam,3747323,0.009428431,2015-09-14
81738784,Đỗ Cao Bảo,13830531,0.0093365,2025-05-12
81763680,Vietnam Equity Holding,3636506,0.0091477146,2015-06-15
81763633,Vietnam Dragon Fund Limited,3589550,0.0090295957,2015-06-15
81763653,Vietnam Enterprise Investments Limited,9710183,0.007646,2023-08-30
81757736,PXP Vietnam Emerging Equity Fund,4867681,0.0071408373,2020-06-15
81743345,Lê Quang Tiến,2500001,0.0062901135,2015-09-14
81754887,Norges Bank,7501021,0.005906,2023-08-30
81737932,DC Developing Markets Strategies Public Limited Company,7150000,0.00563,2023-08-30
